true_w_n_eff,true_a,true_t,true_w_s,posterior_mean_w_n_eff,posterior_mean_a,posterior_mean_t,posterior_mean_w_s,w_n_eff_rank,a_rank,t_rank,w_s_rank,sbc_iteration
1.703,0.607,0.455,0.885,1.574,0.620,0.388,0.805,898,413,892,960,1
0.919,1.031,0.072,0.613,0.935,0.997,0.120,0.607,365,778,136,574,2
0.966,0.923,0.192,0.573,0.983,0.885,0.302,0.560,370,776,49,634,3
0.129,0.881,0.267,1.101,0.179,0.842,0.273,1.068,166,711,470,750,4
1.027,1.234,0.249,0.520,0.986,1.304,0.267,0.570,781,122,397,42,5
0.456,1.007,0.057,0.717,0.551,0.921,0.130,0.774,28,963,27,51,6
0.757,0.875,0.256,0.314,0.705,0.922,0.150,0.336,852,147,947,139,7
1.840,1.462,0.371,0.688,1.814,1.424,0.275,0.660,606,757,894,764,8
1.361,0.556,0.339,0.506,1.280,0.615,0.262,0.500,852,68,918,574,9
1.113,0.783,0.151,0.995,1.080,0.792,0.132,0.942,738,403,687,927,10
1.916,1.493,0.442,0.553,1.763,1.467,0.402,0.549,975,845,753,523,11
1.862,0.452,0.417,0.582,1.718,0.520,0.335,0.605,888,40,939,321,12
1.531,0.945,0.259,0.612,1.706,0.844,0.428,0.724,58,957,5,12,13
1.591,0.681,0.253,0.837,1.677,0.683,0.273,0.953,212,499,367,6,14
1.758,0.825,0.127,0.419,1.699,0.823,0.119,0.429,747,481,628,384,15
1.799,0.664,0.449,0.720,1.784,0.679,0.442,0.702,539,359,512,639,16
0.756,1.229,0.096,0.566,0.794,1.129,0.228,0.590,196,928,34,256,17
0.455,1.328,0.126,1.068,0.439,1.227,0.251,1.011,646,878,59,939,18
1.171,1.026,0.260,0.662,1.255,0.978,0.323,0.668,100,788,188,434,19
1.895,1.105,0.144,1.065,1.903,1.108,0.134,1.026,398,448,637,794,20
0.717,1.161,0.348,0.942,0.756,1.100,0.399,0.910,189,857,179,814,21
1.828,1.308,0.438,0.946,1.828,1.323,0.394,0.882,482,442,722,949,22
0.139,0.925,0.197,0.674,0.240,0.785,0.314,0.706,26,966,80,220,23
1.024,0.797,0.491,0.301,0.918,0.927,0.345,0.339,976,1,996,5,24
0.810,1.273,0.390,1.098,0.811,1.337,0.392,1.104,508,149,455,433,25
0.166,1.367,0.218,0.752,0.223,1.214,0.334,0.679,92,958,102,981,26
0.409,1.494,0.371,0.780,0.442,1.457,0.444,0.826,226,901,50,80,27
0.917,0.659,0.446,1.054,0.841,0.703,0.389,0.969,913,217,857,965,28
0.881,0.906,0.296,0.723,0.913,0.843,0.289,0.691,282,881,530,789,29
0.417,1.312,0.276,0.322,0.428,1.360,0.270,0.345,400,215,548,197,30
1.897,0.910,0.498,0.578,1.796,0.998,0.360,0.597,838,86,998,325,31
1.639,0.542,0.443,1.041,1.593,0.618,0.388,1.111,668,60,832,59,32
1.733,1.221,0.161,1.014,1.767,1.251,0.148,1.077,345,325,619,112,33
1.120,1.435,0.220,0.800,1.194,1.321,0.397,0.806,86,958,1,430,34
1.106,0.665,0.360,0.306,0.976,0.823,0.180,0.339,984,0,996,57,35
0.192,0.973,0.356,0.691,0.208,1.014,0.277,0.703,402,315,782,355,36
1.332,0.429,0.231,0.320,1.306,0.447,0.196,0.393,625,314,768,34,37
1.858,0.740,0.142,0.370,1.841,0.729,0.126,0.379,548,590,647,434,38
1.959,0.962,0.133,0.812,1.921,0.894,0.250,0.823,677,898,62,397,39
0.243,1.027,0.423,0.366,0.201,1.131,0.311,0.368,810,70,901,465,40
1.910,1.074,0.347,0.912,1.911,1.055,0.327,0.850,404,617,622,903,41
1.140,1.057,0.252,1.098,1.316,0.975,0.321,1.122,4,895,129,254,42
1.516,0.674,0.491,0.810,1.430,0.751,0.437,0.811,841,7,960,492,43
0.316,1.374,0.307,0.612,0.315,1.324,0.394,0.618,546,769,115,398,44
0.213,0.752,0.330,0.725,0.191,0.799,0.347,0.699,698,277,403,751,45
1.749,1.028,0.335,0.336,1.654,1.067,0.276,0.345,857,300,740,376,46
0.143,1.028,0.421,0.649,0.158,0.973,0.425,0.605,432,837,412,872,47
1.150,0.636,0.219,0.314,1.160,0.641,0.274,0.343,456,473,193,120,48
1.788,0.538,0.445,0.601,1.578,0.574,0.410,0.551,978,228,706,878,49
0.975,1.022,0.365,1.153,0.915,0.978,0.413,1.167,839,795,178,262,50
1.366,1.034,0.453,0.901,1.336,1.011,0.457,0.834,660,737,380,899,51
1.740,0.525,0.152,0.961,1.849,0.506,0.186,1.006,137,686,250,186,52
1.582,1.126,0.125,1.091,1.613,1.038,0.269,1.044,380,886,16,849,53
1.073,0.920,0.076,0.432,1.153,0.892,0.110,0.463,88,794,238,175,54
0.929,0.699,0.090,0.510,0.960,0.625,0.139,0.479,308,977,161,771,55
1.547,1.297,0.498,1.099,1.498,1.391,0.430,1.078,731,31,989,656,56
1.002,0.973,0.224,0.634,1.015,0.954,0.286,0.632,413,652,178,520,57
0.651,0.769,0.371,0.502,0.704,0.773,0.315,0.474,156,474,781,807,58
0.423,0.993,0.271,0.571,0.414,1.097,0.186,0.606,557,78,875,148,59
1.501,1.237,0.386,1.067,1.477,1.286,0.288,1.066,638,297,896,474,60
1.148,1.461,0.243,1.151,1.090,1.357,0.325,1.107,877,954,97,899,61
0.159,0.893,0.297,0.383,0.145,0.945,0.254,0.435,724,222,676,56,62
1.738,0.699,0.051,0.825,1.796,0.662,0.133,0.821,261,793,6,540,63
1.758,0.813,0.302,0.504,1.750,0.878,0.203,0.532,535,157,906,230,64
1.105,1.462,0.130,1.099,1.179,1.340,0.152,1.015,102,965,359,996,65
1.395,1.444,0.224,0.460,1.398,1.367,0.278,0.440,505,850,273,744,66
0.473,0.881,0.455,1.038,0.385,0.966,0.397,1.067,943,136,774,282,67
1.320,0.686,0.255,1.171,1.297,0.743,0.204,1.107,621,187,791,955,68
1.507,0.975,0.136,0.613,1.512,1.017,0.161,0.582,482,243,377,785,69
0.143,1.217,0.218,0.384,0.195,1.210,0.207,0.371,118,524,586,676,70
1.223,0.448,0.270,0.485,1.257,0.452,0.294,0.499,319,477,309,372,71
1.672,1.033,0.252,0.320,1.628,1.069,0.201,0.336,716,276,762,256,72
1.150,0.618,0.273,0.547,1.112,0.650,0.230,0.566,732,257,761,261,73
0.702,0.451,0.466,0.701,0.691,0.480,0.434,0.699,579,240,762,518,74
0.751,0.969,0.374,0.810,0.744,0.939,0.382,0.798,572,719,423,640,75
0.488,0.690,0.290,0.768,0.554,0.570,0.382,0.713,159,972,68,847,76
0.430,0.678,0.471,1.157,0.389,0.689,0.440,1.132,760,459,698,662,77
1.740,1.499,0.372,0.453,1.591,1.472,0.463,0.448,916,983,7,559,78
0.339,0.584,0.126,0.366,0.312,0.547,0.159,0.367,691,748,330,505,79
1.910,0.793,0.220,1.071,1.804,0.808,0.158,0.988,852,377,864,960,80
1.128,0.647,0.220,1.153,1.057,0.675,0.154,1.077,872,279,910,955,81
1.188,1.003,0.293,0.881,1.256,0.941,0.352,0.890,182,841,179,411,82
1.651,0.543,0.141,0.307,1.668,0.549,0.168,0.335,432,449,329,105,83
0.511,0.634,0.249,1.039,0.538,0.572,0.296,1.117,346,847,228,92,84
1.091,1.179,0.406,1.191,1.048,1.225,0.330,1.146,806,241,892,958,85
0.334,0.590,0.299,0.681,0.395,0.577,0.272,0.704,157,585,657,320,86
1.906,1.273,0.431,1.117,1.856,1.394,0.307,1.114,683,29,943,485,87
0.786,0.818,0.110,0.459,0.835,0.778,0.139,0.451,171,840,293,581,88
1.319,1.474,0.297,0.611,1.453,1.357,0.378,0.589,23,969,108,757,89
1.223,1.337,0.149,0.907,1.301,1.311,0.199,0.948,123,672,216,121,90
1.980,1.219,0.144,0.607,1.907,1.380,0.175,0.737,850,1,346,1,91
0.678,0.881,0.394,0.688,0.673,0.912,0.360,0.624,525,324,676,952,92
0.822,0.613,0.117,0.816,0.736,0.646,0.074,0.782,942,131,949,770,93
1.791,1.008,0.399,1.054,1.824,1.068,0.388,1.027,367,193,512,682,94
1.428,1.063,0.168,1.060,1.508,1.051,0.212,1.081,153,574,246,310,95
0.318,0.680,0.449,0.304,0.211,0.762,0.348,0.367,963,71,932,6,96
1.490,1.285,0.442,0.897,1.444,1.393,0.352,0.990,732,35,930,22,97
1.293,0.497,0.367,0.366,1.404,0.497,0.381,0.397,97,517,377,229,98
1.010,0.872,0.051,0.477,0.998,0.825,0.133,0.447,587,890,2,811,99
1.551,1.367,0.494,0.674,1.564,1.375,0.396,0.717,466,462,984,108,100
